2026-04-09 18:46:22.215311, 24.23, 16.92, 51.93, 615.82, 0.0663, 5.02
2026-04-09 18:46:23.406763, 22.8, 3.66, 55.23, 555.71, 0.0826, 4.85
2026-04-09 18:50:01.439288, 24.23, 0.89, 54.92, 552.76, 0.0327, 6.28
2026-04-09 18:50:01.442792, 23.25, 3.24, 54.84, 532.18, 0.0618, 4.96
2026-04-09 18:50:06.445078, 21.71, 12.2, 51.41, 555.66, 0.0475, 4.18
2026-04-09 18:50:11.451832, 22.82, 19.91, 57.14, 525.36, 0.0968, 6.21
2026-04-09 18:50:16.454422, 27.63, 6.21, 58.43, 620.87, 0.0872, 4.63
2026-04-09 18:50:21.456461, 23.91, 7.64, 53.27, 586.28, 0.0502, 4.37
2026-04-09 18:50:26.459303, 29.41, 10.44, 51.44, 550.36, 0.0218, 4.5
2026-04-09 18:50:31.464123, 23.41, 0.8, 59.95, 600.41, 0.025, 5.01
2026-04-09 18:50:36.466833, 21.27, 5.01, 55.73, 706.34, 0.0615, 5.88
2026-04-09 18:50:41.471352, 24.82, 16.56, 58.75, 696.36, 0.0812, 5.09
2026-04-09 18:50:46.474975, 29.74, 9.97, 58.43, 686.53, 0.0375, 5.93
2026-04-09 18:50:51.478032, 22.09, 19.2, 50.76, 539.51, 0.0296, 5.98
2026-04-09 18:50:56.481517, 23.63, 8.53, 58.45, 600.61, 0.0644, 5.03
2026-04-09 18:51:01.484792, 21.26, 1.48, 50.88, 583.66, 0.0677, 5.2
2026-04-09 18:51:06.489458, 22.76, 18.22, 52.11, 635.6, 0.0753, 6.63
2026-04-09 18:51:11.493236, 28.97, 17.88, 59.34, 560.32, 0.0848, 6.71
2026-04-09 18:51:16.495728, 18.87, 17.28, 53.61, 633.29, 0.0473, 4.14
2026-04-09 18:51:21.499025, 19.06, 17.79, 55.86, 607.43, 0.0285, 6.13
